group,layer,head,enrichment_date
is_words,11,6,0.6345807909965515
is_words,11,7,0.19327659904956818
is_words,11,8,0.02343888394534588
is_words,11,9,0.5769790410995483
is_words,11,10,0.07050488889217377
is_words,11,11,0.05927923694252968
not_is_words,0,0,1.0764907598495483
not_is_words,0,1,1.1207735538482666
not_is_words,0,2,1.0214910507202148
not_is_words,0,3,1.1114360094070435
not_is_words,0,4,1.1435999870300293
not_is_words,0,5,0.8438723683357239
not_is_words,0,6,0.7896474599838257
not_is_words,0,7,0.9753460884094238
not_is_words,0,8,0.916572630405426
not_is_words,0,9,0.9109349846839905
not_is_words,0,10,1.1813757419586182
not_is_words,0,11,1.0345921516418457
not_is_words,1,0,0.4385414123535156
not_is_words,1,1,0.543405294418335
not_is_words,1,2,0.893207848072052
not_is_words,1,3,0.3110315501689911
not_is_words,1,4,0.45130008459091187
not_is_words,1,5,0.4180820882320404
not_is_words,1,6,0.44048649072647095
not_is_words,1,7,0.5582149624824524
not_is_words,1,8,0.5484399199485779
not_is_words,1,9,0.14833904802799225
not_is_words,1,10,0.22263312339782715
not_is_words,1,11,0.7996161580085754
not_is_words,2,0,0.3166140019893646
not_is_words,2,1,0.746600329875946
not_is_words,2,2,0.12308506667613983
not_is_words,2,3,0.4972632825374603
not_is_words,2,4,0.4519018530845642
not_is_words,2,5,0.6695964336395264
not_is_words,2,6,0.590960681438446
not_is_words,2,7,0.5972625613212585
not_is_words,2,8,0.7978732585906982
not_is_words,2,9,0.4618017077445984
not_is_words,2,10,0.42775866389274597
not_is_words,2,11,0.347158282995224
not_is_words,3,0,0.578451931476593
not_is_words,3,1,0.5109399557113647
not_is_words,3,2,0.7334992289543152
not_is_words,3,3,0.7696468234062195
not_is_words,3,4,0.45639699697494507
not_is_words,3,5,0.5563165545463562
not_is_words,3,6,0.6087782382965088
not_is_words,3,7,0.5679082870483398
not_is_words,3,8,0.8242467045783997
not_is_words,3,9,0.5543372631072998
not_is_words,3,10,0.36808881163597107
not_is_words,3,11,1.5528770685195923
not_is_words,4,0,0.49225685000419617
not_is_words,4,1,1.3232073783874512
not_is_words,4,2,0.6333734393119812
not_is_words,4,3,0.4473399817943573
not_is_words,4,4,0.5255306959152222
